Npostid    ,Transtype                     ,Postdate              ,Period   ,Billfrom              ,Billto                ,Market                                  ,Acct_no         ,Debit          ,Credit         ,Invoice                       ,Memo                                    ,Unit_id           ,Detail                                                                                                   ,Cosccurrid,Ncurrencyrate       ,Nbdebit        ,Nbcredit       ,Sysdate               
15950318,DEPOSIT                       ,2/4/2025 0:00,2025.02  ,2/4/2025 0:00,2/4/2025 0:00,AVE Florham Park                        , 012-0970       ,0,-2454.09,2.4 - ACH Refund              ,Deposit - ACH Refund                    ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/4/2025 14:31
15951505,DEPOSIT                       ,2/5/2025 0:00,2025.02  ,2/5/2025 0:00,2/5/2025 0:00,AVE Florham Park                        , 012-0970       ,5330,0,2.5 - Check                   ,Deposit - Check                         ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/5/2025 18:06
15951510,DEPOSIT                       ,2/5/2025 0:00,2025.02  ,2/5/2025 0:00,2/5/2025 0:00,AVE Florham Park                        , 012-0970       ,218.42,0,2.4 - CC                      ,Deposit - MC                            ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/5/2025 18:06
15951512,DEPOSIT                       ,2/5/2025 0:00,2025.02  ,2/5/2025 0:00,2/5/2025 0:00,AVE Florham Park                        , 012-0970       ,3334.78,0,2.5 - Wire                    ,Deposit - Wrie                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/5/2025 18:07
15951589,DEPOSIT                       ,2/5/2025 0:00,2025.02  ,2/5/2025 0:00,2/5/2025 0:00,AVE Florham Park                        , 012-0970       ,51493.6,0,2.5 - Wires                   ,"Deposit - Wire - nomad, sirva           ",.NULL.            ,                                                                                                         ,          ,0,0,0,2/5/2025 18:31
15951787,JENTRY                        ,2/5/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-150000,Fund Oper 02/05/2025          ,Fund operating                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/6/2025 0:00
15952258,DEPOSIT                       ,2/6/2025 0:00,2025.02  ,2/6/2025 0:00,2/6/2025 0:00,AVE Florham Park                        , 012-0970       ,4194.81,0,2.5 - CC                      ,"Deposit - MC, VI                        ",.NULL.            ,                                                                                                         ,          ,0,0,0,2/6/2025 13:42
15952303,DEPOSIT                       ,2/6/2025 0:00,2025.02  ,2/6/2025 0:00,2/6/2025 0:00,AVE Florham Park                        , 012-0970       ,1146.26,0,2.6 - Wire                    ,Deposit - Wire - Housemaid              ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/6/2025 14:19
15952844,JENTRY                        ,2/6/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-165000,JY - Fund Oper 2/6/25         ,Fund operating                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/6/2025 0:00
15954800,DEPOSIT                       ,2/7/2025 0:00,2025.02  ,2/7/2025 0:00,2/7/2025 0:00,AVE Florham Park                        , 012-0970       ,6000,0,2.7 - ACH                     ,Deposit - ACH                           ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/7/2025 13:39
15954803,DEPOSIT                       ,2/7/2025 0:00,2025.02  ,2/7/2025 0:00,2/7/2025 0:00,AVE Florham Park                        , 012-0970       ,8023.75,0,2.7 - Wire                    ,Deposit - Wire - corp relo              ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/7/2025 13:39
15954829,DEPOSIT                       ,2/7/2025 0:00,2025.02  ,2/7/2025 0:00,2/7/2025 0:00,AVE Florham Park                        , 012-0970       ,5930.74,0,2.6 - CC                      ,"Deposit - mc, vi                        ",.NULL.            ,                                                                                                         ,          ,0,0,0,2/7/2025 13:49
15955011,DEPOSIT                       ,2/7/2025 0:00,2025.02  ,2/7/2025 0:00,2/7/2025 0:00,AVE Florham Park                        , 012-0970       ,4676,0,2.7 - Check                   ,Deposit - Check                         ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/7/2025 13:53
15955013,DEPOSIT                       ,2/7/2025 0:00,2025.02  ,2/7/2025 0:00,2/7/2025 0:00,AVE Florham Park                        , 012-0970       ,6423.2,0,2.7 - Wire                    ,Deposit -Wire - Q global                ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/7/2025 13:54
15956348,JENTRY                        ,2/10/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-45000,JY - Fund Oper 2/10/2025      ,Fund operating                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/10/2025 0:00
15957183,DEPOSIT                       ,2/10/2025 0:00,2025.02  ,2/10/2025 0:00,2/10/2025 0:00,AVE Florham Park                        , 012-0970       ,2590,0,2.10 - ACH                    ,Deposit - ACH                           ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/10/2025 18:59
15957185,DEPOSIT                       ,2/10/2025 0:00,2025.02  ,2/10/2025 0:00,2/10/2025 0:00,AVE Florham Park                        , 012-0970       ,5643.45,0,2.7 - CC                      ,"Deposit - MC, VI                        ",.NULL.            ,                                                                                                         ,          ,0,0,0,2/10/2025 19:00
15958068,DEPOSIT                       ,2/11/2025 0:00,2025.02  ,2/11/2025 0:00,2/11/2025 0:00,AVE Florham Park                        , 012-0970       ,7203.84,0,2.11 - Wires                  ,"Deposit - Wires - airbnb, aires         ",.NULL.            ,                                                                                                         ,          ,0,0,0,2/11/2025 11:24
15958556,CHECK                         ,2/11/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-1778.4,0000000400                    ,0000418836 - AIReS                      ,.NULL.            ,TEN: AIReS                                                                                               ,          ,0,0,0,2/11/2025 13:11
15959666,DEPOSIT                       ,2/12/2025 0:00,2025.02  ,2/12/2025 0:00,2/12/2025 0:00,AVE Florham Park                        , 012-0970       ,848.23,0,2.12 - Check                  ,Deposit - Check                         ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/12/2025 12:17
15959690,DEPOSIT                       ,2/12/2025 0:00,2025.02  ,2/12/2025 0:00,2/12/2025 0:00,AVE Florham Park                        , 012-0970       ,3654.07,0,2.11 - CC                     ,"Deposit - mc, vi                        ",.NULL.            ,                                                                                                         ,          ,0,0,0,2/12/2025 12:22
15959714,DEPOSIT                       ,2/12/2025 0:00,2025.02  ,2/12/2025 0:00,2/12/2025 0:00,AVE Florham Park                        , 012-0970       ,4930,0,2.12 - Wire                   ,Deposit - Wire - Oasis                  ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/12/2025 12:31
15961067,DEPOSIT                       ,2/13/2025 0:00,2025.02  ,2/13/2025 0:00,2/13/2025 0:00,AVE Florham Park                        , 012-0970       ,9195.71,0,2.13 - Wires                  ,"Deposit - Wires - airbnb, graebel       ",.NULL.            ,                                                                                                         ,          ,0,0,0,2/13/2025 12:31
