Date,Control,Debit,Credit,Net
1/1/2025,R-1567595,10.73,0.00,10.73
1/1/2025,R-1567595,27.27,0.00,27.27
1/1/2025,R-1567596,19.59,0.00,19.59
1/1/2025,R-1567596,52.90,0.00,52.90
1/1/2025,R-1567596,20.00,0.00,20.00
1/1/2025,R-1567596,3.63,0.00,3.63
1/1/2025,R-1567596,10.73,0.00,10.73
1/1/2025,R-1567596,5.00,0.00,5.00
1/1/2025,R-1567596,75.00,0.00,75.00
1/1/2025,R-1567596,"2,365.00",0.00,"2,365.00"
1/1/2025,R-1567596,17.55,0.00,17.55
1/1/2025,R-1567596,1.74,0.00,1.74
1/1/2025,R-1567597,17.10,0.00,17.10
1/1/2025,R-1567597,20.00,0.00,20.00
1/1/2025,R-1567597,7.51,0.00,7.51
1/1/2025,R-1567597,"2,050.00",0.00,"2,050.00"
1/1/2025,R-1567597,10.00,0.00,10.00
1/1/2025,R-1567597,5.00,0.00,5.00
1/1/2025,R-1567597,6.14,0.00,6.14
1/1/2025,R-1567597,5.85,0.00,5.85
1/1/2025,R-1567597,1.22,0.00,1.22
1/1/2025,R-1567597,2.54,0.00,2.54
1/1/2025,R-1567598,14.75,0.00,14.75
1/1/2025,R-1567598,10.73,0.00,10.73
1/1/2025,R-1567598,"2,014.00",0.00,"2,014.00"
1/1/2025,R-1567598,20.00,0.00,20.00
1/1/2025,R-1567598,5.00,0.00,5.00
1/1/2025,R-1567598,3.63,0.00,3.63
1/1/2025,R-1567598,47.73,0.00,47.73
1/1/2025,R-1567598,1.74,0.00,1.74
1/1/2025,R-1567598,13.56,0.00,13.56
1/1/2025,R-1567599,20.00,0.00,20.00
1/1/2025,R-1567599,10.73,0.00,10.73
1/1/2025,R-1567599,5.00,0.00,5.00
1/1/2025,R-1567599,"1,971.00",0.00,"1,971.00"
1/1/2025,R-1567599,28.28,0.00,28.28
1/1/2025,R-1567599,1.74,0.00,1.74
1/1/2025,R-1567599,24.02,0.00,24.02
1/1/2025,R-1567599,21.15,0.00,21.15
1/1/2025,R-1567599,75.00,0.00,75.00
1/1/2025,R-1567599,3.63,0.00,3.63
1/1/2025,R-1567599,23.95,0.00,23.95
1/1/2025,R-1567599,38.65,0.00,38.65
1/1/2025,R-1567599,25.00,0.00,25.00
1/1/2025,R-1567600,21.34,0.00,21.34
1/1/2025,R-1567600,33.30,0.00,33.30
1/1/2025,R-1567600,"2,050.00",0.00,"2,050.00"
1/1/2025,R-1567600,20.00,0.00,20.00
1/1/2025,R-1567600,10.73,0.00,10.73
1/1/2025,R-1567600,5.00,0.00,5.00
1/1/2025,R-1567600,1.74,0.00,1.74
1/1/2025,R-1567600,7.28,0.00,7.28
1/1/2025,R-1567600,3.63,0.00,3.63
1/1/2025,R-1567600,75.00,0.00,75.00
1/1/2025,R-1567600,24.19,0.00,24.19
1/1/2025,R-1567601,41.50,0.00,41.50
1/1/2025,R-1567601,12.12,0.00,12.12
1/1/2025,R-1567601,75.00,0.00,75.00
1/1/2025,R-1567601,13.10,0.00,13.10
1/1/2025,R-1567601,1.74,0.00,1.74
1/1/2025,R-1567601,3.63,0.00,3.63
1/1/2025,R-1567601,10.73,0.00,10.73
1/1/2025,R-1567601,"2,188.00",0.00,"2,188.00"
1/1/2025,R-1567601,5.00,0.00,5.00
1/1/2025,R-1567602,0.70,0.00,0.70
1/1/2025,R-1567602,3.63,0.00,3.63
1/1/2025,R-1567602,75.00,0.00,75.00
1/1/2025,R-1567602,"3,332.00",0.00,"3,332.00"
1/1/2025,R-1567602,1.74,0.00,1.74
1/1/2025,R-1567602,0.59,0.00,0.59
1/1/2025,R-1567602,5.00,0.00,5.00
1/1/2025,R-1567602,10.73,0.00,10.73
1/1/2025,R-1567602,12.82,0.00,12.82
1/1/2025,R-1567603,1.74,0.00,1.74
1/1/2025,R-1567603,14.16,0.00,14.16
1/1/2025,R-1567603,40.00,0.00,40.00
1/1/2025,R-1567603,3.63,0.00,3.63
1/1/2025,R-1567603,75.00,0.00,75.00
1/1/2025,R-1567603,5.00,0.00,5.00
